code,name,bandOrder,minAmount,maxAmount,description
C1,Up to EUR 30,1,0,30,Nuisance / uneconomic band (auto write-off candidate per BR-DM-036)
C2,EUR 30 to 100,2,30,100,Demand notice and refund interception
C3,EUR 100 to 1000,3,100,1000,Adds phone contact, payment arrangement, bank garnishing, name publication
C4,EUR 1000 to 20000,4,1000,20000,Adds visits, lien, third-party, passport, property seizure, bankruptcy
C5,EUR 20000 to 200000,5,20000,200000,All enforcement actions available
C6,Over EUR 200000,6,200000,,Highest-value band (implied per DM-FR-004)
